Title,Score,Vote,Ranked,Popularity,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating
Scrapped Princess,7.38,37982,2249,2091,24,Finished Airing,"Apr 8, 2003 to Oct 7, 2003",Spring 2003,"['Kadokawa Shoten', 'A-Line']","Funimation,       Bandai Entertainment",Bones,Light novel,23 min. per ep.,PG-13 - Teens 13 or older
Shin Kidou Senki Gundam Wing: Operation MeteorMobile Suit Gundam Wing: Operation Meteor,7.38,3927,2250,5992,4,Finished Airing,"Apr 25, 1996 to Oct 25, 1996",,['add some'],"None found, add some",Sunrise,Original,1 hr. per ep.,PG-13 - Teens 13 or older
"Shingeki no Kyojin: The Final Season SpecialsAttack on Titan: Chibi Theater - Survey Corps, The Final!",7.38,3791,2251,5694,2,Finished Airing,"Jul 7, 2021 to Aug 4, 2021",,['add some'],"None found, add some",Studio Moriken,Manga,5 min. per ep.,G - All Ages
Ai no Wakakusa MonogatariTales of Little Women,7.38,3170,2252,6523,48,Finished Airing,"Jan 11, 1987 to Dec 27, 1987",Winter 1987,['add some'],Saban Entertainment,Nippon Animation,Novel,24 min. per ep.,G - All Ages
Aikatsu Stars! Movie,7.38,2276,2253,7843,1,Finished Airing,"Aug 13, 2016",,['add some'],"None found, add some",Bandai Namco Pictures,Original,59 min.,PG - Children
Alps no Shoujo HeidiHeidi: Girl of the Alps,7.38,19114,2254,3592,52,Finished Airing,"Jan 6, 1974 to Dec 29, 1974",Winter 1974,"['Fuji TV', 'Zuiyo']","None found, add some",Nippon Animation,Book,25 min. per ep.,PG - Children
Ayakashi: Japanese Classic Horror,7.38,25501,2255,2404,11,Finished Airing,"Jan 13, 2006 to Mar 24, 2006",Winter 2006,"['Dentsu', 'SKY Perfect Well Think', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']","Discotek Media,       Geneon Entertainment USA",Toei Animation,Other,23 min. per ep.,R - 17+ (violence & profanity)
Baby I Love You Daze,7.38,4864,2256,6351,1,Finished Airing,"Dec 11, 2018",,['add some'],"None found, add some",Bones,Original,3 min.,G - All Ages
Bishoujo Senshi Sailor Moon MemorialPretty Soldier Sailor Moon Memorial,7.38,6278,2257,4992,5,Finished Airing,"Aug 7, 1998 to May 21, 1999",,['add some'],"None found, add some",Toei Animation,Manga,1 hr. 30 min. per ep.,PG-13 - Teens 13 or older
Bishoujo Senshi Sailor Moon SuperS Specials,7.38,9877,2258,4448,3,Finished Airing,"Apr 8, 1995",,['add some'],VIZ Media,Toei Animation,Manga,16 min. per ep.,PG-13 - Teens 13 or older
Boku no Hero Academia 5th SeasonMy Hero Academia Season 5,7.38,578942,2259,124,25,Finished Airing,"Mar 27, 2021 to Sep 25, 2021",Spring 2021,"['Dentsu', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Funimation,Bones,Manga,23 min. per ep.,PG-13 - Teens 13 or older
City Hunter: Ai to Shukumei no MagnumCity Hunter: .357 Magnum,7.38,3846,2260,6621,1,Finished Airing,"Jun 17, 1989",,['Yomiuri Telecasting'],Discotek Media,Sunrise,Manga,1 hr. 27 min.,PG-13 - Teens 13 or older
Cosmic Baton Girl Comet-san☆,7.38,1660,2261,8524,43,Finished Airing,"Apr 1, 2001 to Jan 27, 2002",Spring 2001,"['Group TAC', 'TV Osaka', 'Yomiko Advertising', 'TOHO']","None found, add some",Nippon Animation,Manga,24 min. per ep.,G - All Ages
Fate/stay night Movie: Unlimited Blade WorksFate/stay night: Unlimited Blade Works,7.38,120762,2262,1052,1,Finished Airing,"Jan 23, 2010",,"['Geneon Universal Entertainment', 'Frontier Works', 'TBS', 'KlockWorx', 'Notes', 'CREi']",Sentai Filmworks,Studio Deen,Visual novel,1 hr. 45 min.,R - 17+ (violence & profanity)
Full Metal Panic! The Second Raid Episode 00,7.38,17424,2263,3469,1,Finished Airing,"Jul 6, 2005",,['Kadokawa Shoten'],Funimation,Kyoto Animation,Light novel,5 min.,PG-13 - Teens 13 or older
Hokuto no Ken: Toki-denFist of the North Star: The Legend of Toki,7.38,3687,2264,6664,1,Finished Airing,"Mar 26, 2008",,"['TMS Entertainment', 'North Stars Pictures']",Discotek Media,APPP,Manga,57 min.,R - 17+ (violence & profanity)
Inazuma Eleven: Saikyou Gundan Ogre Shuurai,7.38,19437,2265,3838,1,Finished Airing,"Dec 23, 2010",,['Dentsu Tec'],"None found, add some",OLM,Unknown,1 hr. 30 min.,G - All Ages
Inu x Boku SSInu X Boku Secret Service,7.38,233929,2266,429,12,Finished Airing,"Jan 13, 2012 to Mar 30, 2012",Winter 2012,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic']",Sentai Filmworks,David Production,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Isekai Quartet,7.38,213608,2267,596,12,Finished Airing,"Apr 10, 2019 to Jun 26, 2019",Spring 2019,['Kadokawa'],Funimation,Studio PuYUKAI,Original,11 min. per ep.,PG-13 - Teens 13 or older
Joshiraku OVA,7.38,11037,2268,4478,1,Finished Airing,"Feb 8, 2013",,['add some'],"None found, add some",J.C.Staff,Manga,23 min.,PG-13 - Teens 13 or older
Slayers Evolution-R,7.38,15334,2270,3822,13,Finished Airing,"Jan 12, 2009 to Apr 6, 2009",Winter 2009,['add some'],"Funimation,       NYAV Post",J.C.Staff,Light novel,24 min. per ep.,PG-13 - Teens 13 or older
SunabouzuDesert Punk,7.38,54588,2271,1595,24,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,"['GDH', 'Pony Canyon', 'CBC Television']",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Super GALS! Kotobuki RanSuper GALS!,7.38,8094,2272,4566,52,Finished Airing,"Apr 1, 2001 to Mar 31, 2002",Spring 2001,['TV Tokyo'],"ADV Films,       Nozomi Entertainment",Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older
"Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! MovieLove, Chunibyo & Other Delusions!: Rikka Version",7.38,51803,2273,1943,1,Finished Airing,"Sep 14, 2013",,['add some'],Sentai Filmworks,Kyoto Animation,Light novel,1 hr. 30 min.,PG-13 - Teens 13 or older
Waga Seishun no Arcadia: Mugen Kidou SSXCaptain Harlock: Arcadia of my Youth - Endless Orbit SSX,7.38,2440,2274,7125,22,Finished Airing,"Oct 13, 1982 to Mar 30, 1983",Fall 1982,['TBS'],Discotek Media,Toei Animation,Unknown,25 min. per ep.,PG-13 - Teens 13 or older
Watashi no Oshi wa Akuyaku Reijou.I'm in Love with the Villainess,7.37,30549,2287,2313,12,Finished Airing,"Oct 3, 2023 to Dec 19, 2023",Fall 2023,"['Asmik Ace', 'King Records', 'Ichijinsha']","None found, add some",Platinum Vision,Light novel,24 min. per ep.,PG-13 - Teens 13 or older
Wushen ZhuzaiThe God of War Dominates,7.38,1387,2275,8119,496,Currently Airing,"Mar 8, 2020 to ?",,"['Tencent Penguin Pictures', 'Quyue Technology', 'Manhoo Culture']","None found, add some",Ruo Hong Culture,Novel,8 min. per ep.,PG-13 - Teens 13 or older
"Yama no Susume: Omoide PresentEncouragement of Climb: ""Omoide"" Present",7.38,6404,2276,5363,1,Finished Airing,"Oct 28, 2017",,['Yomiuri TV Enterprise'],"None found, add some",8bit,Manga,26 min.,PG-13 - Teens 13 or older
Yi Ren Zhi Xia 2Hitori no Shita - The Outcast 2,7.38,29875,2277,2414,24,Finished Airing,"Oct 27, 2017 to May 18, 2018",,['Tencent Animation & Comics'],"None found, add some",Haoliners Animation League,Web manga,24 min. per ep.,R - 17+ (violence & profanity)
Yowamushi Pedal: Limit Break,7.38,7561,2278,4360,25,Finished Airing,"Oct 9, 2022 to Mar 26, 2023",Fall 2022,"['TV Tokyo', 'MediaNet', 'TOHO animation', 'Akita Shoten', 'NHK Enterprises']","None found, add some",TMS Entertainment,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Yozakura Quartet: Hoshi no Umi,7.38,15714,2279,3483,3,Finished Airing,"Oct 8, 2010 to Nov 9, 2011",,['Kodansha'],"None found, add some","Tatsunoko Production,       KMMJ Studios,       Purple Cow Studio Japan",Manga,28 min. per ep.,PG-13 - Teens 13 or older
Yuuki Yuuna wa Yuusha de AruYuki Yuna is a Hero,7.38,56699,2280,1473,12,Finished Airing,"Oct 17, 2014 to Dec 26, 2014",Fall 2014,"['Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Movic', 'KlockWorx']","Sentai Filmworks,       Ponycan USA",Studio Gokumi,Original,24 min. per ep.,PG-13 - Teens 13 or older
Yuusha-Ou GaoGaiGar Final Grand Glorious GatheringKing of Braves GaoGaiGar Final Grand Glorious Gathering,7.38,1107,2281,8942,12,Finished Airing,"Apr 11, 2005 to Jun 27, 2005",Spring 2005,['add some'],Media Blasters,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older
Soukyuu no Fafner: Dead Aggressor - Exodus,7.37,7413,2282,4546,13,Finished Airing,"Jan 9, 2015 to Apr 3, 2015",Winter 2015,"['Starchild Records', 'Mainichi Broadcasting System']","None found, add some",I.Gzwei,Original,24 min. per ep.,PG-13 - Teens 13 or older
Soukyuu no Fafner: Dead Aggressor - Heaven and EarthFafner: Heaven and Earth,7.37,5503,2283,5385,1,Finished Airing,"Dec 25, 2010",,"['Production I.G', 'Movic', 'KlockWorx', 'King Records']",Funimation,Xebec,Original,1 hr. 30 min.,PG-13 - Teens 13 or older
Soukyuu no Fafner: Dead Aggressor - Right of Left,7.37,5718,2284,5279,1,Finished Airing,"Dec 30, 2005",,"['Production I.G', 'Starchild Records']","None found, add some",Xebec,Original,51 min.,PG-13 - Teens 13 or older
Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3,7.37,736,2285,9190,3,Finished Airing,"Nov 13, 2020",,['King Records'],"None found, add some","Production I.G,       I.Gzwei",Original,26 min. per ep.,PG-13 - Teens 13 or older
Tsurune Movie: Hajimari no IsshaTsurune the Movie: The First Shot,7.37,1369,2286,4899,1,Finished Airing,"Aug 19, 2022",,['add some'],Sentai Filmworks,Kyoto Animation,Light novel,1 hr. 42 min.,PG-13 - Teens 13 or older
Kamichu!,7.37,18383,2288,2695,12,Finished Airing,"Jun 29, 2005 to Sep 27, 2005",Summer 2005,['Aniplex'],Geneon Entertainment USA,Brain's Base,Original,26 min. per ep.,G - All Ages
Karas,7.37,28027,2289,2667,6,Finished Airing,"Mar 25, 2005 to Oct 26, 2007",,['Showgate'],Manga Entertainment,Tatsunoko Production,Original,30 min. per ep.,R - 17+ (violence & profanity)
Kekkai Sensen: Ousama no Restaurant no OusamaBlood Blockade Battlefront OVA,7.37,19530,2290,3341,1,Finished Airing,"Jun 3, 2016",,['TOHO animation'],"None found, add some",Bones,Manga,24 min.,R - 17+ (violence & profanity)
Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta MiraiMobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,7.37,12618,2291,4442,1,Finished Airing,"Dec 25, 2005",,['Mainichi Broadcasting System'],Bandai Entertainment,Sunrise,Original,47 min.,R - 17+ (violence & profanity)
Kidou Senshi Gundam SEED: SEED Supernova - Tanekyara Gekijou,7.37,3630,2292,6801,4,Finished Airing,"Jun 22, 2007",,['add some'],"None found, add some",Sunrise,Original,4 min. per ep.,PG-13 - Teens 13 or older
Kiznaiver,7.37,354955,2293,260,12,Finished Airing,"Apr 9, 2016 to Jun 25, 2016",Spring 2016,"['Aniplex', 'Movic', 'Ultra Super Pictures', 'Sammy', 'Asahi Broadcasting', 'BS11', 'Crunchyroll']",Aniplex of America,Trigger,Original,24 min. per ep.,PG-13 - Teens 13 or older
Kore wa Zombie desu ka? OVAIs This a Zombie? OVA,7.37,72895,2294,1649,2,Finished Airing,"Jun 10, 2011 to Apr 24, 2012",,['add some'],Funimation,Studio Deen,Light novel,24 min. per ep.,PG-13 - Teens 13 or older
Love Stage!!: Chotto ja Nakutte,7.37,34371,2295,2615,1,Finished Airing,"Nov 22, 2014",,['Kadokawa Shoten'],Sentai Filmworks,J.C.Staff,Manga,23 min.,PG-13 - Teens 13 or older
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e KayouThe Misfit of Demon King Academy",7.37,459400,2296,239,13,Finished Airing,"Jul 4, 2020 to Sep 26, 2020",Summer 2020,"['Aniplex', 'Movic', 'AT-X', 'Studio Mausu', 'Tokyo MX', 'Q-Tec', 'Docomo Anime Store', 'Medicos Entertainment', 'BS11', 'Contents Seed', 'Kadokawa', 'ADK Marketing Solutions']",Aniplex of America,SILVER LINK.,Light novel,23 min. per ep.,R - 17+ (violence & profanity)
Mato Seihei no SlaveChained Soldier,7.30,4435,2640,2213,12,Currently Airing,"Jan 4, 2024 to ?",Winter 2024,"['Pony Canyon', 'AT-X', 'MAGNET', 'Yostar']",Sentai Filmworks,Seven Arcs,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Meitantei Conan: Hiiro no Fuzai ShoumeiDetective Conan: The Scarlet Alibi,7.37,1882,2297,7358,1,Finished Airing,"Feb 11, 2021",,['add some'],"None found, add some",TMS Entertainment,Manga,1 hr. 34 min.,PG-13 - Teens 13 or older
Meitantei HolmesSherlock Hound,7.37,4017,2298,5770,26,Finished Airing,"Nov 6, 1984 to May 21, 1985",Fall 1984,['add some'],"Discotek Media,       Geneon Entertainment USA","Gallop,       TMS Entertainment",Novel,25 min. per ep.,G - All Ages
Mikakunin de ShinkoukeiEngaged to the Unidentified,7.37,181923,2299,577,12,Finished Airing,"Jan 9, 2014 to Mar 27, 2014",Winter 2014,"['Sotsu', 'DAX Production', 'TOHO animation', 'RAY', 'Ichijinsha']",Sentai Filmworks,Doga Kobo,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older
Minami-ke Natsuyasumi,7.37,8771,2300,4927,1,Finished Airing,"Aug 6, 2013",,['Starchild Records'],"None found, add some",feel.,Manga,28 min.,PG-13 - Teens 13 or older
Mob Psycho 100: Reigen - Shirarezaru Kiseki no ReinouryokushaMob Psycho 100 Reigen: The Miraculous Unknown Psychic,7.37,47394,2301,2023,1,Finished Airing,"Mar 18, 2018",,['add some'],"Funimation,       Crunchyroll",Bones,Web manga,1 hr.,PG-13 - Teens 13 or older
NG Knight Ramune & 40,7.37,1141,2303,8987,38,Finished Airing,"Apr 6, 1990 to Jan 4, 1991",Spring 1990,"['TV Tokyo', 'Asatsu DK']",Discotek Media,Ashi Productions,Original,22 min. per ep.,PG-13 - Teens 13 or older
Oda Nobuna no YabouThe Ambition of Oda Nobuna,7.37,145730,2304,804,12,Finished Airing,"Jul 9, 2012 to Sep 24, 2012",Summer 2012,"['Pony Canyon', 'AT-X', 'KlockWorx', 'SoftBank Creative']",Sentai Filmworks,"Madhouse,       Studio Gokumi",Light novel,24 min. per ep.,PG-13 - Teens 13 or older
Oruchuban Ebichu,7.37,19965,2305,2965,24,Finished Airing,"Aug 1, 1999 to Oct 1, 1999",Summer 1999,['Pioneer LDC'],"None found, add some","Gainax,       Group TAC",Manga,8 min. per ep.,R+ - Mild Nudity
Prison School: Mad Wax,7.37,91859,2306,1466,1,Finished Airing,"Mar 4, 2016",,['add some'],"None found, add some",J.C.Staff,Manga,25 min.,R+ - Mild Nudity
Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kaiSaekano: How to Raise a Boring Girlfriend .flat - Fan Service of Love and Pure heart,7.37,68453,2307,1730,1,Finished Airing,"Apr 6, 2017",,['Aniplex'],"None found, add some",A-1 Pictures,Light novel,22 min.,PG-13 - Teens 13 or older
Saiyuuki ReloadSaiyuki Reload,7.37,13536,2308,3675,25,Finished Airing,"Oct 2, 2003 to Mar 25, 2004",Fall 2003,['add some'],"Discotek Media,       Geneon Entertainment USA",Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Saiyuuki Reload GunlockSaiyuki Gunlock,7.37,8610,2309,4441,26,Finished Airing,"Apr 2, 2004 to Sep 24, 2004",Spring 2004,['add some'],Geneon Entertainment USA,Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Senryuu ShoujoSenryu Girl,7.37,78965,2310,1262,12,Finished Airing,"Apr 6, 2019 to Jun 22, 2019",Spring 2019,"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures']",Sentai Filmworks,Connect,4-koma manga,12 min. per ep.,PG-13 - Teens 13 or older
Shakugan no Shana MovieShakugan no Shana: The Movie,7.37,30544,2311,2683,1,Finished Airing,"Apr 21, 2007",,"['Geneon Universal Entertainment', 'ASCII Media Works', 'Showgate']",Funimation,J.C.Staff,Light novel,1 hr. 26 min.,PG-13 - Teens 13 or older
Shen Lan Qi Yu Wushuang Zhu: Tianmo PianThe Land of Miracles 2nd Season,7.37,272,2312,14273,15,Finished Airing,"Jan 14, 2023 to Apr 15, 2023",,"['iQIYI', 'High Energy Studio', 'Xuanshi Tangmen']","None found, add some",CG Year,Web novel,20 min. per ep.,PG-13 - Teens 13 or older
ShiguruiShigurui: Death Frenzy,7.37,36899,2313,1753,12,Finished Airing,"Jul 19, 2007 to Oct 11, 2007",Summer 2007,"['Geneon Universal Entertainment', 'WOWOW', 'Akita Shoten']",Funimation,Madhouse,Manga,23 min. per ep.,R+ - Mild Nudity
Shin Getter RoboNew Getter Robo,7.37,4243,2314,6122,13,Finished Airing,"Apr 9, 2004 to Sep 10, 2004",,"['Bee Media', 'Dynamic Planning']","Discotek Media,       Geneon Entertainment USA",Brain's Base,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Shingeki no Kyojin: Ano Hi KaraAttack on Titan: Since That Day,7.37,68528,2315,1586,1,Finished Airing,"Jul 7, 2013",,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",Funimation,Wit Studio,Manga,24 min.,R - 17+ (violence & profanity)
Comic Girls,7.37,59356,2316,1556,12,Finished Airing,"Apr 5, 2018 to Jun 21, 2018",Spring 2018,"['Sony Pictures Entertainment', 'Frontier Works', 'Sotsu', 'Houbunsha', 'Chugai Mining', 'Kansai Telecasting', 'BS11', 'My Theater D.D.', 'Good Smile Film']","None found, add some",Nexus,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older
Dakaretai Otoko 1-i ni Odosarete Imasu.DAKAICHI -I'm being harassed by the sexiest man of the year-,7.37,77855,2317,1454,13,Finished Airing,"Oct 6, 2018 to Dec 29, 2018",Fall 2018,"['Aniplex', 'Movic', 'Libre', 'animate']",Aniplex of America,CloverWorks,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-henDanganronpa 3: The End of Hope's Peak High School - Despair Arc,7.37,176924,2318,731,11,Finished Airing,"Jul 14, 2016 to Sep 22, 2016",Summer 2016,['add some'],Funimation,Lerche,Visual novel,23 min. per ep.,R - 17+ (violence & profanity)
Doraemon,7.37,11163,2319,4707,26,Finished Airing,"Apr 1, 1973 to Sep 30, 1973",Spring 1973,['add some'],"None found, add some","None found, add some",Manga,25 min. per ep.,PG - Children
Fairy Tail Movie 1: Houou no MikoFairy Tail the Movie: The Phoenix Priestess,7.37,121391,2320,1098,1,Finished Airing,"Aug 18, 2012",,"['TV Tokyo', 'Dentsu']",Funimation,"Satelight,       A-1 Pictures",Manga,1 hr. 26 min.,PG-13 - Teens 13 or older
Freedom,7.37,7745,2321,4384,7,Finished Airing,"Nov 24, 2006 to May 23, 2008",,"['Bandai Visual', 'Dentsu']","Bandai Entertainment,       Discotek Media,       NYAV Post,       Bandai Visual USA",Sunrise,Original,28 min. per ep.,PG-13 - Teens 13 or older
Futatsu no SpicaTwin Spica,7.37,3859,2322,6117,20,Finished Airing,"Nov 1, 2003 to Mar 27, 2004",Fall 2003,['NHK'],"None found, add some",Group TAC,Manga,25 min. per ep.,PG-13 - Teens 13 or older
Hakata Tonkotsu Ramens,7.37,61433,2323,1465,12,Finished Airing,"Jan 12, 2018 to Mar 30, 2018",Winter 2018,"['Sotsu', 'AT-X', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Tokyo MX', 'BS11']",Funimation,Satelight,Novel,23 min. per ep.,R - 17+ (violence & profanity)
Huyao Xiao Hongniang: Qian YanFox Spirit Matchmaker 5th Season,7.37,2516,2324,7079,15,Finished Airing,"Feb 24, 2017 to Jun 2, 2017",,['Tencent Animation & Comics'],"None found, add some",Haoliners Animation League,Manga,14 min. per ep.,PG-13 - Teens 13 or older
Afro Samurai,7.36,199235,2325,616,5,Finished Airing,"May 3, 2007 to May 4, 2007",Spring 2007,"['Dentsu', 'Victor Entertainment', 'Pony Canyon', 'Fuji TV']",Funimation,Gonzo,Manga,27 min. per ep.,R+ - Mild Nudity
Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,7.36,20746,2326,3361,1,Finished Airing,"Apr 3, 2020",,"['Aniplex', 'Movic', 'Magic Capsule', 'Shueisha', 'BS11', 'ADK']",Aniplex of America,"Silver,       Arvo Animation",Manga,23 min.,PG-13 - Teens 13 or older
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,7.36,2496,2327,7600,1,Finished Airing,"Apr 23, 1999",,['add some'],Discotek Media,Sunrise,Manga,1 hr. 31 min.,PG-13 - Teens 13 or older
Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.36,4341,2328,7135,1,Finished Airing,"Apr 19, 1997",,['TV Asahi'],"None found, add some",Shin-Ei Animation,Manga,1 hr. 39 min.,G - All Ages
Deca-Dence,7.36,133255,2329,786,12,Finished Airing,"Jul 8, 2020 to Sep 23, 2020",Summer 2020,"['AT-X', 'BS11', 'Kadokawa Media House', 'Kadokawa', 'NewGin']",Funimation,Nut,Original,23 min. per ep.,PG-13 - Teens 13 or older
Doraemon Movie 36: Shin Nobita no Nippon TanjouDoraemon the Movie: Nobita and the Birth of Japan 2016,7.36,3307,2330,7749,1,Finished Airing,"Mar 5, 2016",,"['TV Asahi', 'TOHO', 'Fujiko F. Fujio Pro']","None found, add some",Shin-Ei Animation,Manga,1 hr. 44 min.,PG - Children
Dotto Koni-chan.Koni-chan,7.36,1758,2331,8497,26,Finished Airing,"Nov 26, 2000 to May 29, 2001",Fall 2000,"['Genco', 'Animax']","None found, add some",Shaft,Original,25 min. per ep.,None
Flanders no InuA Dog of Flanders,7.36,1868,2332,6964,52,Finished Airing,"Jan 5, 1975 to Dec 28, 1975",Winter 1975,['Zuiyo'],"None found, add some",Nippon Animation,Novel,26 min. per ep.,G - All Ages
Ginga Tetsudou no YoruNight on the Galactic Railroad,7.36,9115,2333,4280,1,Finished Airing,"Jul 13, 1985",,['add some'],"Central Park Media,       Discotek Media",Group TAC,Novel,1 hr. 47 min.,G - All Ages
Gunsmith Cats,7.36,23036,2334,2881,3,Finished Airing,"Nov 1, 1995 to Sep 1, 1996",,"['VAP', 'TBS', 'Kodansha']","ADV Films,       AnimEigo",OLM,Manga,29 min. per ep.,PG-13 - Teens 13 or older
HakuoukiHakuoki ~Demon of the Fleeting Blossom~,7.36,69382,2335,1366,12,Finished Airing,"Apr 4, 2010 to Jun 20, 2010",Spring 2010,['add some'],Sentai Filmworks,Studio Deen,Visual novel,23 min. per ep.,R - 17+ (violence & profanity)
Hataraku Saibou!!Cells at Work!!,7.36,93465,2336,882,8,Finished Airing,"Jan 9, 2021 to Feb 27, 2021",Winter 2021,"['Aniplex', 'Kodansha', 'Magic Capsule']",Aniplex of America,David Production,Manga,23 min. per ep.,PG-13 - Teens 13 or older
High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original VideoHigh School DxD BorN Specials,7.36,48821,2337,2135,6,Finished Airing,"Jul 24, 2015 to Jan 27, 2016",,"['Genco', 'Lantis', 'Movic', 'AT-X', 'Memory-Tech', 'Showgate', 'Kadokawa']",Funimation,TNK,Light novel,3 min. per ep.,R+ - Mild Nudity
Hiyoko no Basket Movie: Last Game 0401,7.36,5620,2338,5987,1,Finished Airing,"Apr 1, 2017",,['add some'],"None found, add some","None found, add some",Manga,1 min.,G - All Ages
Honoo no Toukyuuji: Dodge Danpei,7.36,2828,2339,8125,47,Finished Airing,"Oct 14, 1991 to Sep 21, 1992",Fall 1991,"['TV Tokyo', 'Shogakukan-Shueisha Productions']","None found, add some",Animation 21,Manga,25 min. per ep.,PG - Children
Isekai Quartet 2,7.36,138416,2340,1015,12,Finished Airing,"Jan 15, 2020 to Apr 1, 2020",Winter 2020,['Kadokawa'],Funimation,Studio PuYUKAI,Original,11 min. per ep.,PG-13 - Teens 13 or older
Sora no Otoshimono: Project PinkHeaven's Lost Property OVA,7.36,59643,2341,1918,1,Finished Airing,"Sep 9, 2010",,['NTT Docomo'],Funimation,AIC ASTA,Manga,24 min.,PG-13 - Teens 13 or older
Tales of Zestiria: Doushi no YoakeTales of Zestiria: Dawn of the Shepherd,7.36,20423,2342,3280,1,Finished Airing,"Dec 30, 2014",,['add some'],"None found, add some",ufotable,Game,44 min.,PG-13 - Teens 13 or older
Tennis no Oujisama: Sonzoku Yama no HiPrince of Tennis: A Day of the Survival Mountain,7.36,8386,2343,5204,1,Finished Airing,2003,,['add some'],"None found, add some",Production I.G,Manga,30 min.,PG-13 - Teens 13 or older
Tiger & Bunny Movie 1: The BeginningTiger & Bunny Movie 1,7.36,11152,2344,4268,1,Finished Airing,"Sep 22, 2012",,['Tohokushinsha Film Corporation'],VIZ Media,Sunrise,Original,1 hr. 33 min.,PG-13 - Teens 13 or older
Uchuu no StellviaStellvia,7.36,9548,2345,4350,26,Finished Airing,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,"['Starchild Records', 'TV Tokyo Music']","Discotek Media,       Geneon Entertainment USA",Xebec,Original,23 min. per ep.,PG-13 - Teens 13 or older
Xian Ni,7.36,232,2346,12857,24,Currently Airing,"Sep 25, 2023 to ?",,['Tencent Penguin Pictures'],"None found, add some",BUILD DREAM,Novel,20 min. per ep.,PG-13 - Teens 13 or older
Yowamushi Pedal: Re:RideYowapeda Re:RIDE,7.36,4685,2347,5719,1,Finished Airing,"Sep 19, 2014",,['TOHO animation'],Discotek Media,TMS Entertainment,Manga,1 hr. 28 min.,PG-13 - Teens 13 or older
Zoids,7.36,25797,2348,3044,67,Finished Airing,"Sep 4, 1999 to Dec 23, 2000",Fall 1999,['add some'],VIZ Media,Xebec,Other,25 min. per ep.,PG-13 - Teens 13 or older
Karakuri Zoushi Ayatsuri Sakon,7.36,3293,2349,5813,26,Finished Airing,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,['WOWOW'],"None found, add some",TMS Entertainment,Manga,25 min. per ep.,R - 17+ (violence & profanity)
Mato Seihei no SlaveChained Soldier,7.30,4435,2640,2213,12,Currently Airing,"Jan 4, 2024 to ?",Winter 2024,"['Pony Canyon', 'AT-X', 'MAGNET', 'Yostar']",Sentai Filmworks,Seven Arcs,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Meitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!,7.36,7920,2350,5191,1,Finished Airing,"Mar 15, 2006",,['add some'],"None found, add some",TMS Entertainment,Manga,23 min.,PG-13 - Teens 13 or older
Nisekoi OVA,7.36,91273,2351,1391,3,Finished Airing,"Oct 3, 2014 to Apr 3, 2015",,['add some'],Aniplex of America,Shaft,Manga,26 min. per ep.,PG-13 - Teens 13 or older
Nurse Angel Ririka SOS,7.35,1203,2373,8425,35,Finished Airing,"Jul 7, 1995 to Mar 29, 1996",Summer 1995,"['TV Tokyo', 'Nihon Ad Systems']","None found, add some",Gallop,Manga,24 min. per ep.,PG - Children
