Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Demographics,Serialization,Author
Asa Chun!,6.98,1306,8978,6929,"2,666",5,1,4,Finished,"Jun  10, 2009 to Feb  10, 2010","['Comedy', 'Romance']",[],['Shoujo'],Cheese! Zoukan,"Hanaya, En (Story & Art)"
Hanayome ni Naru Jouken,6.98,325,8979,20248,576,0,1,3,Finished,2010,[],[],[],None,"Fujita, Kazuko (Art), James, Julia (Story)"
Comic☆Hoshi Shinichi,6.98,117,8980,15586,891,3,Unknown,Unknown,Publishing,"Aug  6, 2001 to ?","['Mystery', 'Sci-Fi', 'Supernatural']",[],['Shoujo'],Mystery Bonita,"Shimura, Takako (Art), Kitoh, Mohiro (Art), Oda, Hideji (Art), Iwaoka, Hisae (Art), Ishiguro, Masakazu (Art), Teshirogi, Shiori (Art), Kawaguchi, Madoka (Art), Tsurumaki, Kazuya (Art), Oshimi, Shuuzou (Art), Imamura, Youko (Art), KUJIRA (Art), Kiki (Art), Watanabe, Peko (Art), Nanamaki, Kanako (Art), Shirai, Yumiko (Art), Abe, Jun (Art), Dowman, Sayman (Art), Aoki, Tomo (Art), Asada, Nikki (Art), Aoki, Toshinao (Art), Nishimura, Tsuchika (Art), Suzuki, Shiho (Art), Hikochi, Sakuya (Art), Sudou, Masumi (Art), Arita, Kei (Story & Art)"
Shoku King,6.98,118,8981,23606,428,2,27,254,Finished,1999 to  2004,"['Action', 'Adventure', 'Comedy', 'Drama', 'Gourmet', 'Slice of Life']",[],['Seinen'],None,"Tsuchiyama, Shigeru (Story & Art)"
Hajimari no Natsu,6.98,1662,8982,5536,"3,449",4,1,5,Finished,"Sep  28, 2010 to Aug  11, 2011",[],[],['Shoujo'],Bessatsu Friend,"Ichinose, Ruka (Story & Art)"
Haikei Date Masamune-sama,6.98,461,8983,14223,"1,028",1,2,8,Finished,2010 to  2011,"['Comedy', 'Romance']",[],['Shoujo'],Bessatsu Margaret,"Nakajima, Tsubasa (Story & Art)"
Baka ga Zenra de Yattekuru,6.98,1086,8984,7642,"2,369",11,2,9,Finished,"Oct  18, 2011 to Dec  28, 2012",[],[],['Seinen'],Altima Ace,"Ida, Hiroto (Art), Iruma, Hitoma (Story)"
Dekoboko Girlish,6.98,187,8985,18396,680,1,3,43,Finished,"Aug  12, 2009 to Jul  15, 2014","['Comedy', 'Slice of Life']",[],['Seinen'],Fellows!,"Hara, Ayumi (Story & Art)"
Pet wa Binyanshi.,6.98,147,8986,24592,396,0,1,6,Finished,"May  15, 2010 to Dec  4, 2010",[],[],['Shoujo'],Sho-Comi,"Miyake, Madoka (Story & Art)"
Hima nanode Okujou ni imasu,6.98,638,8987,11839,"1,330",0,Unknown,1,Finished,"Dec  1, 2011","['Boys Love', 'Romance']",[],['Shoujo'],Bessatsu Margaret,"Ukyou, Ayane (Story & Art)"
Hamster Club,6.98,118,8988,28494,286,2,6,Unknown,Finished,1996 to ?,[],[],['Kids'],None,Medetai (Story & Art)
Pupipo!,6.98,288,8989,13282,"1,134",4,3,29,Finished,"Apr  11, 2007 to Aug  5, 2009","['Slice of Life', 'Supernatural']",[],['Shounen'],FlexComix Blood,"Oshikiri, Rensuke (Story & Art)"
Yajuu Kanojo,6.98,316,8990,18725,661,1,1,7,Finished,Oct  2011 to Feb  2013,"['Comedy', 'Romance']",[],['Shoujo'],Bessatsu Margaret,Konatsu (Story & Art)
"Inochi Mijikashi, Koiseyo Furyou Shounen!",6.98,2507,8991,3805,"5,220",7,1,8,Finished,"Mar  5, 2013 to Aug  20, 2013",[],[],['Shoujo'],Margaret,"Nijino, Yuka (Story & Art)"
Ten no Hanayome,6.98,206,8992,17359,748,0,1,6,Finished,"Jun  5, 2013 to Aug  5, 2013","['Romance', 'Supernatural']",[],['Shoujo'],Sho-Comi,"Mitsuki, Miko (Story & Art), Aoki, Anne (Story)"
Otome Mania!!,6.98,146,8895,20341,570,7,2,13,Finished,"Aug  22, 2014 to Sep  23, 2015","['Comedy', 'Romance']",[],['Shoujo'],Sylph,"Tsukigase, Yurino (Story & Art)"
Monte Carlo no Ame (The Rain in Monte Carlo),6.98,366,8896,18101,698,0,Unknown,1,Finished,"Nov  25, 2014",[],[],[],Gougai onBLUE,"Kumota, Haruko (Story & Art)"
Humanitas,6.98,100,8897,25885,356,2,1,7,Finished,"Jun  12, 2015 to Sep  23, 2016",[],[],['Seinen'],Big Comic Superior,"Yamamoto, Aki (Story & Art)"
Witch Hunt,6.98,1004,8899,7818,"2,305",12,Unknown,88,Finished,"May  10, 2014 to Jan  9, 2016","['Fantasy', 'Supernatural']",[],[],Naver Webtoon,"Park, So (Story & Art)"
Eiga Novelize Death Note: Light Up the New World,6.98,134,8900,18729,660,8,1,5,Finished,"Oct  24, 2016","['Mystery', 'Supernatural', 'Suspense']",[],[],None,"Kusakabe, Masatoshi (Story), Mano, Katsunari (Story)"
Onna Doushi de Kodomo wo Umukoto ni Shimashita,6.98,145,8901,23218,442,0,1,14,Finished,"Apr  21, 2016","['Girls Love', 'Slice of Life']",[],[],None,"Sugiyama, Emiko (Art), Higashi, Koyuki (Story), Masuhara, Hiroko (Story)"
Futaribocchi Sensou (War for Just the Two of Us),6.98,353,8902,11786,"1,338",12,3,11,Finished,"Jun  2, 2017 to Apr  4, 2018","['Action', 'Sci-Fi']",[],['Shounen'],Jump SQ.,"Hijihara, Erubo (Story & Art)"
Koi no Choujikuuhou (Super Dimensional Love Gun),6.98,726,8903,8216,"2,170",37,1,14,Finished,"Jun  1, 2015","['Avant Garde', 'Horror', 'Ecchi']",[],[],None,"Kago, Shintarou (Story & Art)"
"Sugar Girl, Sugar Doll",6.98,588,8943,10367,"1,607",1,2,12,Finished,"Oct  22, 2012 to Jul  22, 2013",[],[],['Shoujo'],Sylph,"Enoki, Rika (Story & Art)"
Brothers Conflict: Puru Puru,6.98,157,8944,20116,583,3,2,Unknown,Finished,"Sep  22, 2012 to Aug  22, 2013",[],[],['Shoujo'],Sylph,"Cotorino, Deathco (Story & Art), Kanase, Atsuko (Story)"
AFO-Guard,6.98,673,8945,8985,"1,924",11,5,50,Finished,"Aug  1, 2013 to Aug  6, 2015","['Comedy', 'Romance']","['Gag Humor', 'School']",[],Gangan Online,mikimaki (Story & Art)
Shinkaigyo no Anko-san (Anko-san of the Deep-sea Fish),6.98,910,8946,6535,"2,871",29,4,27,Finished,"Nov  21, 2012 to Aug  12, 2015","['Comedy', 'Fantasy']",[],[],Comic Meteor,Inuinu (Story & Art)
Bokura no Yukue wa,6.98,816,8947,8884,"1,951",0,1,4,Finished,"Sep  1, 2010 to Aug  20, 2013","['Romance', 'Slice of Life']",[],['Shoujo'],Bessatsu Margaret,"Watanabe, Kana (Story & Art)"
Ningen Deshita (I Was Human),6.98,408,8948,15528,897,3,1,8,Finished,"Dec  24, 2013 to Apr  1, 2014","['Drama', 'Romance', 'Slice of Life']",[],[],Manga Box,"Nakagawa, Yuukei (Story), Kikonomi (Art)"
Wanko Number One (Man's Bestest Friend),6.98,608,8949,11701,"1,352",12,4,44,Finished,"Dec  9, 2013 to Jan  26, 2015","['Comedy', 'Romance', 'Slice of Life']",[],[],Manga Box,"Tamakoshi, Hiroyuki (Story & Art)"
Philosophia,6.98,2127,8950,4234,"4,622",47,1,6,Finished,"Dec  30, 2010 to Dec  30, 2012","['Girls Love', 'Slice of Life']",[],[],None,"Amano, Shuninta (Story & Art)"
Katsute Kami Datta Kemono-tachi e (To the Abandoned Sacred Beasts),6.98,1606,8951,1951,"9,778",38,15,89,Finished,"Jun  9, 2014 to Jun  9, 2023",[],[],['Shounen'],Bessatsu Shounen Magazine,Maybe (Story & Art)
Kagehinata,6.98,102,8952,22653,464,1,Unknown,6,Finished,"Nov  5, 2013 to Feb  20, 2014","['Comedy', 'Romance', 'Slice of Life']",[],['Shoujo'],Margaret,"Takeuchi, Ayaka (Story), Satonaka, Mika (Art)"
Otokonoko ni wa Himitsu ga Aru (A Boy Has a Secret.),6.98,163,8953,19473,618,2,2,8,Finished,"May  24, 2013 to Aug  9, 2014","['Drama', 'Romance']",[],['Shoujo'],Dessert,"Kaoruhara, Yoshie (Story & Art)"
Kagome Kagome,6.98,290,8954,17719,723,2,1,11,Finished,"Jul  25, 2013 to May  22, 2014",[],[],[],Champion Tap!,"Ikebe, Aoi (Story & Art)"
Shirobako: Introduction,6.98,455,8955,11363,"1,410",4,1,5,Finished,"Jan  27, 2015","['Comedy', 'Slice of Life']",[],[],None,"Itou, Michiko (Story), Tanaka, Hajime (Story), Yoshinari, Ikuko (Story), TAMA (Story)"
Tomino no Jigoku (Tomino the Damned),6.98,303,8956,11673,"1,357",8,4,22,Finished,"Feb  12, 2014 to Dec  12, 2018","['Drama', 'Horror']",[],['Seinen'],Comic Beam,"Maruo, Suehiro (Story & Art)"
Hatsune Miku no Shoushitsu (The Disappearance of Hatsune Miku),6.98,212,8957,17157,762,23,1,Unknown,Finished,"Jul  20, 2012",[],[],[],None,"Yuunagi (Art), Aga, Miyuya (Story)"
Pet,6.98,161,8958,12946,"1,174",10,5,55,Finished,"Jul  29, 2002 to Oct  27, 2003",[],[],['Seinen'],Big Comic Spirits,"Miyake, Ranjou (Story & Art)"
Love Rerun,6.98,499,8959,11125,"1,450",6,2,10,Finished,"Jun  25, 2014 to Nov  25, 2015","['Romance', 'Slice of Life']",[],['Josei'],Kiss,"Amasawa, Aki (Story & Art)"
Sakura,6.98,131,8960,15559,894,1,1,16,Finished,"Jan  27, 2014","['Comedy', 'Drama', 'Girls Love', 'Supernatural']",[],[],None,"Hirao, Auri (Story & Art), Sanada, Ikki (Story & Art), Momono, Moto (Story & Art), Tachi (Story & Art), Hoshikuzu, Nanagou (Story & Art), Kiyose, Akame (Story & Art), Fumio, Aya (Story & Art), YUI_7 (Story & Art)"
Chicha Koi Nikki (A Little Love Story),6.98,212,8961,17617,729,4,2,14,Finished,"May  25, 2013 to Jun  25, 2014","['Drama', 'Romance', 'Slice of Life']",[],[],Monthly Action,"Sawa, Misono (Story & Art)"
Kagakuteki ni Sonzai shiuru Creature Musume no Kansatsu Nisshi (Creature Girls: A Hands-On Field Journal in Another World),6.98,598,8993,6899,"2,681",37,Unknown,Unknown,Publishing,"Feb  7, 2017 to ?","['Action', 'Comedy', 'Fantasy', 'Supernatural', 'Ecchi']",[],[],Champion Cross,KAKERU (Story & Art)
Yoru no Kagi (The Sign of Abyss),6.98,430,8994,12073,"1,296",14,5,52,Finished,"Feb  13, 2018 to Jun  12, 2020","['Drama', 'Fantasy']",[],['Shounen'],Shounen Jump+,"Takamura, Maya (Story & Art)"
Ganbare! Memeko-chan,6.98,134,8995,27140,320,4,4,67,Finished,"Sep  18, 2004 to Apr  19, 2010","['Comedy', 'Romance', 'Slice of Life']",[],[],Manga Club Original,Munko (Story & Art)
Fairy Tail: City Hero,6.98,790,8996,7582,"2,393",10,4,46,Finished,"Oct  26, 2018 to Nov  22, 2019","['Action', 'Adventure', 'Comedy']",[],[],Magazine pocket,"Andou, Ushio (Story & Art)"
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen (Our Last Crusade or the Rise of a New World)",6.98,1787,8997,2876,"6,891",51,7,43,Finished,"May  11, 2018 to Mar  12, 2021","['Action', 'Fantasy', 'Romance']",[],[],Young Animal,"okama (Art), Sazane, Kei (Story)"
Itookashi,6.98,211,8998,18482,674,3,Unknown,1,Finished,"Dec  26, 2018",[],[],['Shounen'],Shounen Sunday,Kotoyama (Story & Art)
Inaka ni Kaeru to Yakeni Natsuita Kasshoku Ponytail Shota ga Iru (A Vacation With the Ponytailed Tanning Boy),6.98,584,8999,11039,"1,468",11,4,40,Finished,"Oct  26, 2018 to Jun  25, 2021",[],[],[],Gene pixiv,Bimita (Story & Art)
Midara na Ao-chan wa Benkyou ga Dekinai: Otona-hen,6.98,235,9000,10991,"1,477",3,3,16,Finished,"Jan  17, 2019 to Apr  17, 2020","['Comedy', 'Romance', 'Ecchi']",[],['Shounen'],Shounen Magazine Edge,"Kawahara, Ren (Story & Art)"
Wota⇄Doru: Oshi ga Watashi de Watashi ga Oshi de (Star⇄Crossed!!),6.98,712,9001,7653,"2,363",24,4,17,Finished,"Jun  13, 2019 to Sep  12, 2020","['Comedy', 'Romance', 'Supernatural']",[],['Shoujo'],Bessatsu Friend,Junko (Story & Art)
Yuri Hyakkei (A Hundred Scenes of Girls Love),6.98,302,9002,16879,786,3,2,18,Finished,"Mar  23, 2017 to Mar  22, 2018","['Girls Love', 'Slice of Life']",[],[],None,Hachiko (Story & Art)
Peach Love,6.98,349,9003,13322,"1,129",10,Unknown,65,Finished,"Oct  21, 2015 to Apr  2, 2018",[],"['Delinquents', 'School']",[],Lezhin Comics Webtoon,Fujoking (Story & Art)
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,6.98,112,9004,17351,748,9,Unknown,Unknown,Publishing,"Aug  2, 2019 to ?",[],[],[],None,"Okazawa, Rokujuuyon (Story), Sage Joh (Art)"
Arashi-kun no Dakimakura (Arashi-kun's Dakimakura),6.98,374,9005,8527,"2,064",9,Unknown,Unknown,Publishing,"Mar  13, 2020 to ?","['Romance', 'Slice of Life']",[],['Shoujo'],Bessatsu Friend,"Watanabe, Ayu (Story & Art)"
Casino-gui,6.98,128,9006,18507,673,1,5,50,Finished,"Dec  27, 2019 to Apr  2, 2021",[],[],['Seinen'],Manga Goraku,"Yoshida, Shirou (Art), Nozaki, Hanaichi (Story)"
Zombie Powder.,6.98,7415,8904,1172,"15,542",250,4,30,Finished,"Jul  19, 1999 to Feb  15, 2000","['Action', 'Comedy', 'Supernatural']",[],['Shounen'],Shounen Jump (Weekly),"Kubo, Tite (Story & Art)"
Boys Be... 2nd Season (Boys Be II),6.98,152,8905,21381,519,1,20,157,Finished,"Nov  6, 1996 to Feb  23, 2000","['Comedy', 'Drama', 'Romance']",[],['Shounen'],Shounen Magazine (Weekly),"Tamakoshi, Hiroyuki (Art), Itabashi, Masahiro (Story)"
Fukai Nemuri no Hana (Flower of the Deep Sleep),6.98,563,8906,12512,"1,239",14,2,10,Finished,"Jan  17, 2003 to Aug  11, 2003","['Drama', 'Mystery', 'Supernatural']",[],['Shoujo'],Asuka,"Kazumi, Yuana (Story & Art)"
Girls Saurus,6.98,4618,8907,2541,"7,764",43,3,17,Finished,"Apr  18, 2002 to Dec  18, 2002","['Comedy', 'Romance', 'Ecchi']",[],[],None,"Kusunoki, Kei (Story & Art)"
Dear Boys,6.98,337,8908,11551,"1,380",17,23,92,Finished,"Jun  6, 1989 to Jan  6, 1997",[],"['School', 'Team Sports']",['Shounen'],Shounen Magazine (Monthly),"Yagami, Hiroki (Story & Art)"
Shanghai Youma Kikai,6.98,863,8909,8664,"2,020",6,Unknown,4,Finished,"Apr  12, 2000 to Apr  12, 2006","['Action', 'Comedy', 'Supernatural']",[],['Shounen'],Shounen Gangan,"Arakawa, Hiromu (Story & Art)"
CUTE X GUY,6.98,1094,8910,7018,"2,628",11,4,15,Finished,Not available,"['Comedy', 'Romance']","['Magical Sex Shift', 'School']",['Shoujo'],Hana to Yume,"Tateno, Makoto (Story & Art)"
Subete ni Iya Girl (The Hating Girl),6.98,1015,8911,7442,"2,453",11,5,86,Finished,Jul  2000 to  2002,"['Comedy', 'Romance']",[],['Seinen'],Young Magazine (Weekly),"Rokunishi, Koji (Story & Art)"
Bikou Root,6.98,597,8912,13459,"1,112",0,1,4,Finished,1999,[],[],[],None,"Takanashi, Mitsuba (Story & Art)"
Pink♥♥Innocent,6.98,996,8913,8729,"2,001",18,3,10,Finished,2007,"['Comedy', 'Romance']",[],['Shoujo'],Nakayoshi,"Momoyuki, Kotori (Story & Art)"
Seikon no Qwaser (The Qwaser of Stigmata),6.98,3907,8914,1466,"13,087",161,24,119,Finished,"Aug  19, 2006 to Jul  19, 2016","['Action', 'Supernatural', 'Ecchi']","['Harem', 'School']",['Seinen'],Champion RED,"Satou, Kenetsu (Art), Yoshino, Hiroyuki (Story)"
"Baby, Star",6.98,596,8915,13013,"1,166",1,1,4,Finished,2003,[],[],['Shoujo'],Betsucomi,"Sakurakouji, Kanoko (Story & Art)"
Honoka ni Purple (A Hint of Purple),6.98,408,8916,14787,968,3,3,11,Finished,Dec  1985 to Apr  1987,"['Drama', 'Romance']",[],['Shoujo'],Sho-Comi,"Saitou, Chiho (Story & Art)"
Tomodachi kara Yoroshiku desu!,6.98,649,8917,12895,"1,181",2,Unknown,1,Finished,2005,"['Comedy', 'Romance', 'Supernatural']",[],['Shoujo'],Ribon Magazine,"Harada, Taeko (Story & Art)"
Mizutama Fabric,6.98,531,8918,12805,"1,194",0,1,4,Finished,"Dec  10, 2002 to Oct  10, 2006",[],[],['Shoujo'],LaLa DX,"Hayashi, Mikase (Story & Art)"
B - Wanted,6.98,146,8919,23236,441,3,6,Unknown,Finished,Not available,"['Comedy', 'Drama', 'Romance']",[],[],None,"Enue, Kei (Story & Art)"
Ryouko no Shinrei Jikenbo,6.98,367,8920,15640,887,2,4,16,Finished,1988 to  1991,"['Drama', 'Horror', 'Mystery', 'Romance', 'Sci-Fi']",[],['Shoujo'],Ciao,"Shinohara, Chie (Story & Art)"
Beast Harem,6.98,842,8921,8929,"1,937",4,3,13,Finished,"Mar  24, 2006 to May  24, 2007","['Drama', 'Romance']",[],['Shoujo'],Cheese!,"Doumoto, Nao (Story & Art)"
Sanzokuou,6.98,134,8922,26010,352,1,13,50,Finished,2001 to ?,[],[],['Shounen'],None,"Sawada, Hirofumi (Story & Art)"
Shin Megami Tensei Devil Children,6.98,157,8923,20786,548,4,5,26,Finished,"Mar  6, 2001 to ?","['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']",[],['Kids'],None,"Fujii, Hideaki (Story & Art), Atlus (Story)"
Yume Tsukai,6.98,320,8924,11606,"1,370",15,6,36,Finished,"Jan  25, 2001 to Dec  25, 2003","['Fantasy', 'Horror', 'Mystery']",[],['Seinen'],Afternoon,"Ueshiba, Riichi (Story & Art)"
SM Hunter,6.98,136,8925,20332,570,11,10,Unknown,Finished,2005 to ?,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",[],[],Issue,"Na, You (Story & Art)"
Akuma ga Hallelujah,6.98,2416,8926,4431,"4,401",6,1,4,Finished,"Mar  26, 2008",[],[],['Shoujo'],Betsucomi,"Kikuchi, Kamaro (Story & Art)"
Night Head Genesis,6.98,300,8927,13955,"1,058",8,3,23,Finished,"Jul  26, 2006 to Oct  25, 2008",[],[],[],Magazine-Z,"Higuri, You (Art), Iida, George (Story)"
Silver,6.98,117,8928,24742,391,2,2,7,Finished,"Dec  13, 2004 to Jun  13, 2005","['Romance', 'Sci-Fi']",[],['Shoujo'],Bessatsu Friend,"Suetsugu, Yuki (Story & Art)"
Slayers Light Magic,6.98,301,8929,16324,826,4,2,9,Finished,"Jul  26, 2008 to Apr  26, 2009","['Adventure', 'Comedy', 'Fantasy']",[],[],Kero-kero Ace,"Sasaki, Shin (Art)"
Koi Koi Country Road (Love Love Country Road),6.98,167,8930,21251,525,0,1,5,Finished,2006,"['Romance', 'Slice of Life']",[],['Shoujo'],Betsucomi,"Fujisawa, Shizuki (Story & Art)"
Koi yori Kiss yori Daikirai!!,6.98,150,8931,21103,531,0,3,Unknown,Finished,2002 to  2003,[],[],['Shoujo'],Stencil,"Umezawa, Hana (Story & Art)"
Yomogi Mochi Yaketa?,6.98,306,8932,15393,910,1,4,Unknown,Finished,"Apr  2008 to Dec  28, 2009",[],[],['Shoujo'],ChuChu,"Arai, Kiyoko (Story & Art)"
Delinquent Lesson,6.98,756,8933,8678,"2,016",7,5,Unknown,Finished,2006 to  2007,"['Comedy', 'Romance']",[],['Shoujo'],Issue,"Yeon, Doo (Story), Kim, Ye Vin (Art)"
Koi no Jitsuryoku Ai no Sainou,6.98,429,8934,16363,823,1,1,4,Finished,2008 to ?,[],[],['Shoujo'],None,"Ozaki, Ira (Story & Art)"
Kimi wa Boku no Taiyou,6.98,928,8935,10256,"1,630",3,Unknown,1,Finished,"Dec  8, 2008",[],[],['Shoujo'],Mugen Anthology Series,"Yumeka, Sumomo (Story & Art)"
Sensei to Watashi,6.98,1222,8936,4901,"3,942",11,4,23,Finished,"Sep  20, 2008 to ?",[],[],['Shoujo'],Sho-Comi,"Minase, Ai (Story & Art)"
Honki de Nakechau Koi,6.98,261,8937,20790,548,1,1,6,Finished,2003,[],[],['Shoujo'],Bessatsu Friend,"Sakurai, Machiko (Story & Art), Nekoyama, Miyao (Story & Art), Mitsuya, Omi (Story & Art)"
Become Habituated to Kiss,6.98,982,8938,5900,"3,201",11,15,75,Finished,2008 to ?,"['Comedy', 'Romance']",[],['Shoujo'],None,"Hwang, Mi Ri (Story & Art)"
Kunisaki Izumo no Jijou,6.98,600,8939,13117,"1,154",3,Unknown,1,Finished,"Feb  18, 2009",[],"['Crossdressing', 'Harem', 'Performing Arts', 'School']",['Shounen'],Shounen Sunday,"Hirakawa, Aya (Story & Art)"
Doromamire no Tora: Miyazaki Hayao Mousou Note,6.98,162,8940,21626,509,4,1,6,Finished,"Oct  25, 1998 to Mar  25, 1999",[],[],['Seinen'],Model Graphix,"Miyazaki, Hayao (Story & Art)"
Noel la Neige (Christmas Snow),6.98,484,8941,15452,905,5,Unknown,1,Finished,"Aug  18, 2008",[],[],['Shounen'],GFantasy,Sichol=bell (Story & Art)
Higurashi no Naku Koro ni Jan,6.98,310,8942,10259,"1,630",15,1,7,Finished,"Mar  26, 2010",[],[],['Seinen'],None,"Ryukishi07 (Story), Maku, Ikuma (Art), Chiha, Ayami (Art)"
Tsuiteru Kanojo,6.97,671,9068,10681,"1,540",5,2,9,Finished,"Aug  9, 2004 to Jun  9, 2005","['Comedy', 'Drama', 'Romance', 'Supernatural', 'Ecchi']",[],['Shounen'],Dragon Age,"Zappa, Gou (Story), Fujima, Takuya (Art)"
Zig☆Zag,6.97,298,9069,15010,946,11,9,44,Finished,"Sep  24, 2004 to Sep  24, 2008","['Comedy', 'Drama', 'Romance']",[],['Shoujo'],LaLa,"Nakaji, Yuki (Story & Art)"
Grenadier,6.97,738,9070,7960,"2,256",14,7,36,Finished,"Apr  26, 2002 to Mar  26, 2005","['Action', 'Adventure', 'Comedy', 'Ecchi']",[],['Shounen'],Shounen Ace,"Kaise, Sosuke (Story & Art)"
Sakura Taisen (Sakura Wars),6.97,754,9071,8299,"2,139",25,9,29,Finished,"Jun  26, 2002 to Dec  26, 2008","['Action', 'Romance', 'Supernatural']",[],[],Magazine E-no,"Hiroi, Ouji (Story), Masa, Ikkyu (Art), Fujishima, Kousuke (Story), Masa, Ikku (Art)"
Watashi no Suki na Hito (The One I Love),6.97,2109,9072,4509,"4,317",10,1,12,Finished,"Nov  16, 1993 to May  16, 1995","['Romance', 'Slice of Life']",[],['Josei'],Young Rosé,CLAMP (Story & Art)
Dragon Drive,6.97,1866,9073,4836,"3,993",93,14,57,Finished,"Aug  3, 2001 to Jan  5, 2006","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],['Shounen'],Shounen Jump (Monthly),"Sakura, Kenichi (Story & Art)"
Acony,6.97,1844,9074,4739,"4,085",27,3,24,Finished,"Mar  25, 2004 to Jul  24, 2010","['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",[],['Seinen'],Afternoon,"Toume, Kei (Story & Art)"
Sexy Voice and Robo,6.97,464,9075,10018,"1,684",22,2,13,Finished,"Nov  30, 2000 to Dec  25, 2002","['Award Winning', 'Comedy', 'Drama', 'Mystery', 'Slice of Life']",[],['Seinen'],Ikki,"Kuroda, Iou (Story & Art)"
The Poet Who Buys Words,6.97,940,9076,9711,"1,752",4,Unknown,3,Finished,2006,[],[],['Shoujo'],Wink,"Uhm, Jung-Hyun (Story & Art)"
0 no Soukoushi (Parfum Extrait 0),6.97,1663,9077,5790,"3,266",10,1,3,Finished,"Aug  11, 2004 to May  26, 2006","['Drama', 'Mystery']",[],['Shoujo'],Hana to Yume Plus,"Yuki, Kaori (Story & Art)"
R²: Rise R to the Second Power,6.97,187,9078,21595,510,14,2,14,On Hiatus,"Mar  30, 2002 to Aug  30, 2003",[],[],['Shounen'],Comic Blade,"Hakoda, Maki (Story & Art)"
♡ (Futaba-kun Change),6.97,827,9079,9445,"1,813",16,8,46,Finished,"Nov  6, 1990 to Feb  1997","['Comedy', 'Romance', 'Ecchi']","['Magical Sex Shift', 'School']",['Shounen'],Shounen Jump (Monthly),"Aro, Hiroshi (Story & Art)"
Cotton,6.97,1284,9080,7733,"2,338",8,1,8,Finished,Oct  2003,[],[],['Josei'],None,"Konno, Kita (Story & Art)"
B-Shock,6.97,1941,9081,5897,"3,202",16,4,52,Finished,1999 to  2002,"['Comedy', 'Romance', 'Ecchi']",[],['Seinen'],Young Jump,"Nakano, Junko (Story & Art)"
Kamisama Kazoku,6.97,309,9082,11994,"1,306",0,5,30,Finished,"Dec  2005 to May  23, 2008","['Comedy', 'Fantasy', 'Romance']",[],[],Comic Flapper,"Kuwashima, Yoshikazu (Story), TaPari (Art)"
Kidou Butouden G Gundam (Mobile Fighter G Gundam),6.97,288,9083,17653,727,6,3,13,Finished,"Apr  15, 1994 to Apr  15, 1995","['Action', 'Sci-Fi']","['Mecha', 'Space']",[],Comic Bonbon,"Tokita, Kouichi (Story & Art)"
Happy Ice Cream!,6.97,311,9084,18319,685,3,3,15,Finished,Not available,"['Comedy', 'Fantasy']",[],['Shoujo'],Nakayoshi,"Kawamura, Mika (Story & Art)"
Iketeru Futari,6.97,399,9085,9854,"1,723",12,33,331,Finished,"1997 to Apr  26, 2010","['Comedy', 'Romance', 'Ecchi']",[],['Seinen'],Young King,"Sano, Takashi (Story & Art)"
Blue Sky Playground,6.97,483,9086,13105,"1,155",0,3,21,Finished,Not available,"['Comedy', 'Romance']",[],['Shoujo'],Margaret,"Kurasawa, Mota (Story & Art)"
The Antique Gift Shop,6.97,127,9087,21982,494,4,10,16,Finished,2004,"['Drama', 'Fantasy']",[],[],None,"Lee, Eun (Story)"
Kamunagara,6.97,175,9088,17320,750,5,10,75,Finished,2000 to ?,"['Action', 'Adventure', 'Supernatural']",[],['Seinen'],Young King OURs,"Yamamura, Hajime (Story & Art)"
Watashi ga Itemo Inakutemo,6.97,383,9089,15968,856,3,3,12,Finished,"Jun  13, 2001 to Jul  13, 2002","['Romance', 'Slice of Life']",[],['Shoujo'],Bessatsu Margaret,"Ikuemi, Ryou (Story & Art)"
Mail,6.97,894,9090,6090,"3,084",33,3,18,Finished,"Feb  10, 1999 to Jan  26, 2005","['Drama', 'Horror', 'Supernatural']",[],['Shounen'],Shounen Ace,"Yamazaki, Housui (Story & Art)"
Hissatsu! Madonna Densetsu,6.97,213,9091,23303,439,2,1,5,Finished,1997,"['Comedy', 'Romance']",[],['Shoujo'],Ribon Magazine,"Azuki, Ryou (Story & Art)"
Kamisama no Orgel,6.97,380,9092,14572,992,1,3,Unknown,Finished,2001 to  2003,"['Drama', 'Romance']",[],['Shoujo'],Cookie,"Mizusawa, Megumi (Story & Art)"
Atsui Hibi,6.97,1058,9093,8521,"2,066",3,1,4,Finished,"Mar  24, 1999 to Feb  9, 2002","['Drama', 'Romance']",[],['Shoujo'],LaLa DX,"Midorikawa, Yuki (Story & Art)"
Goshujinsama to Watashi (Master and Me),6.97,172,9094,20593,557,2,1,Unknown,Finished,Not available,[],[],['Shoujo'],None,"Yamada, Komomo (Story & Art)"
Cherry Love,6.97,1062,9095,8813,"1,973",3,1,5,Finished,2006,"['Drama', 'Romance']",[],['Shoujo'],ChuChu,"Shigano, Iori (Story & Art)"
